date,open,close,high,low,volume
2024-02-08,7.311,7.181,7.511,7.111,576787.0
2024-02-19,7.561,7.571,7.811,7.471,755077.0
2024-02-20,7.491,7.441,7.571,7.291,393319.0
2024-02-21,7.401,7.431,7.621,7.341,308915.0
2024-02-22,7.421,7.501,7.551,7.381,210428.0
2024-02-23,7.601,7.771,7.801,7.491,415124.0
2024-02-26,7.631,8.181,8.311,7.611,617576.0
2024-02-27,8.161,8.781,8.941,8.081,663370.0
2024-02-28,8.781,8.371,8.881,8.351,556018.0
2024-02-29,8.321,8.661,8.721,8.321,458069.0
2024-03-01,8.661,9.031,9.121,8.621,521701.0
2024-03-04,9.191,9.511,9.621,9.111,627593.0
2024-03-05,9.381,9.321,9.551,9.171,481203.0
2024-03-06,9.231,9.261,9.431,9.011,446502.0
2024-03-07,9.231,8.831,9.261,8.801,483929.0
2024-03-08,8.831,9.101,9.181,8.811,309611.0
2024-03-11,9.031,9.121,9.161,8.881,308451.0
2024-03-12,9.161,8.931,9.271,8.821,301459.0
2024-03-13,8.971,9.081,9.241,8.891,309753.0
2024-03-14,8.991,9.041,9.181,8.931,210060.0
2024-03-15,8.951,9.161,9.331,8.931,354928.0
2024-03-18,9.181,9.231,9.261,9.021,436686.0
2024-03-19,9.181,9.031,9.281,9.001,293893.0
2024-03-20,9.021,9.521,9.711,9.021,635912.0
2024-03-21,9.591,9.611,10.031,9.561,582883.0
2024-03-22,9.521,10.161,10.491,9.511,720023.0
2024-03-25,10.011,9.651,10.141,9.481,495478.0
2024-03-26,9.581,9.691,9.961,9.501,446310.0
2024-03-27,9.661,9.641,9.881,9.431,333236.0
2024-03-28,9.581,9.911,10.051,9.521,313029.0
2024-03-29,9.821,10.261,10.291,9.631,337722.0
2024-04-01,10.361,10.341,10.471,9.961,305156.0
2024-04-02,10.251,9.791,10.251,9.681,383420.0
2024-04-03,9.761,9.831,9.861,9.591,220330.0
2024-04-08,9.771,9.681,9.881,9.641,178790.0
2024-04-09,9.701,9.701,9.821,9.531,165962.0
2024-04-10,9.681,9.501,9.721,9.321,225722.0
2024-04-11,9.431,9.611,9.731,9.351,191402.0
2024-04-12,9.571,9.381,9.611,9.301,245814.0
2024-04-15,9.381,9.421,9.511,9.221,207045.0
2024-04-16,9.331,9.121,9.471,9.081,209130.0
2024-04-17,9.231,9.601,9.621,9.231,298790.0
2024-04-18,9.541,9.401,9.601,9.371,217150.0
2024-04-19,9.381,9.481,9.721,9.371,230076.0
2024-04-22,9.501,8.831,9.501,8.761,681715.0
2024-04-23,8.871,9.131,9.241,8.871,387628.0
2024-04-24,9.031,8.551,9.121,8.351,905506.0
2024-04-25,8.701,8.571,8.761,8.381,474455.0
2024-04-26,8.571,8.831,8.901,8.561,409609.0
2024-04-29,8.971,9.201,9.231,8.891,563332.0
2024-04-30,9.201,8.941,9.241,8.891,353425.0
2024-05-06,9.071,9.221,9.251,9.041,434621.0
2024-05-07,9.161,9.171,9.521,9.131,350187.0
2024-05-08,9.111,8.861,9.151,8.801,327151.0
2024-05-09,8.881,8.721,8.961,8.601,503997.0
2024-05-10,8.711,8.551,8.761,8.471,370868.0
2024-05-13,8.481,8.671,8.771,8.371,401574.0
2024-05-14,8.731,8.591,8.811,8.471,322102.0
2024-05-15,8.581,8.521,8.741,8.491,251029.0
2024-05-16,8.571,8.711,8.911,8.561,391002.0
2024-05-17,8.681,8.591,8.861,8.471,517351.0
2024-05-20,8.651,8.661,8.681,8.511,402484.0
2024-05-21,8.631,8.751,8.841,8.631,380044.0
2024-05-22,8.711,8.901,8.931,8.671,322675.0
2024-05-23,8.861,8.681,8.941,8.631,376117.0
2024-05-24,8.651,8.711,8.831,8.601,383690.0
2024-05-27,8.851,8.711,8.931,8.541,372558.0
2024-05-28,8.641,8.411,8.711,8.391,314505.0
2024-05-29,8.451,8.471,8.531,8.391,224828.0
2024-05-30,8.451,8.651,8.691,8.321,254869.0
2024-05-31,8.641,8.741,8.761,8.581,256537.0
2024-06-03,8.751,8.651,8.811,8.541,297105.0
2024-06-04,8.651,8.791,8.801,8.561,300427.0
2024-06-05,8.761,8.721,8.891,8.711,265870.0
2024-06-06,8.761,8.521,8.831,8.491,268380.0
2024-06-07,8.591,8.631,8.701,8.501,231665.0
2024-06-11,8.451,8.641,8.701,8.331,240711.0
2024-06-12,8.631,8.811,8.871,8.571,247090.0
2024-06-13,8.791,8.841,8.861,8.641,316917.0
2024-06-14,8.801,8.991,9.031,8.761,300040.0
2024-06-17,9.051,8.951,9.091,8.751,320397.0
2024-06-18,8.951,8.631,9.011,8.621,383615.0
2024-06-19,8.711,8.601,8.711,8.501,248722.0
2024-06-20,8.551,8.461,8.661,8.431,231810.0
2024-06-21,8.441,8.471,8.551,8.381,191041.0
2024-06-24,8.401,8.201,8.411,8.191,272725.0
2024-06-25,8.201,8.061,8.271,7.931,271614.0
2024-06-26,8.051,8.451,8.471,8.001,269505.0
2024-06-27,8.371,8.271,8.471,8.231,282811.0
2024-06-28,8.221,8.061,8.391,8.031,326783.0
2024-07-01,8.021,8.091,8.131,7.931,197545.0
2024-07-02,8.051,7.601,8.081,7.531,587042.0
2024-07-03,7.561,7.591,7.771,7.481,296613.0
2024-07-04,7.581,7.381,7.681,7.361,293105.0
2024-07-05,7.391,7.561,7.601,7.371,219430.0
2024-07-08,7.501,7.341,7.561,7.301,221784.0
2024-07-09,7.321,7.341,7.411,7.131,314675.0
2024-07-10,7.261,7.251,7.361,7.111,252175.0
2024-07-11,7.351,7.331,7.451,7.271,280305.0
2024-07-12,7.361,7.271,7.401,7.251,220848.0
2024-07-15,7.251,7.341,7.411,7.241,281503.0
2024-07-16,7.281,7.261,7.311,7.171,227545.0
2024-07-17,7.241,7.261,7.341,7.221,225945.0
2024-07-18,7.231,7.281,7.291,7.131,220970.0
2024-07-19,7.321,7.371,7.451,7.281,328691.0
2024-07-22,7.511,7.171,7.591,7.131,460378.0
2024-07-23,7.181,7.001,7.181,7.001,352138.0
2024-07-24,6.971,6.891,7.121,6.861,259522.0
2024-07-25,6.871,6.971,7.091,6.781,267827.0
2024-07-26,6.951,7.041,7.091,6.921,195735.0
2024-07-29,7.021,7.091,7.121,6.921,231960.0
2024-07-30,7.061,7.031,7.071,6.911,204721.0
2024-07-31,7.021,7.371,7.401,7.011,358579.0
2024-08-01,7.331,7.211,7.391,7.161,247915.0
2024-08-02,7.151,7.091,7.331,7.081,267433.0
2024-08-05,7.041,7.021,7.301,7.011,310244.0
2024-08-06,7.141,7.101,7.201,7.001,198804.0
2024-08-07,7.091,7.071,7.131,7.031,152915.0
2024-08-08,7.031,7.111,7.171,6.891,236136.0
2024-08-09,7.101,6.911,7.141,6.901,202617.0
2024-08-12,6.901,6.891,6.961,6.801,139753.0
2024-08-13,6.921,6.861,6.971,6.771,146737.0
2024-08-14,6.861,6.861,6.981,6.811,181902.0
2024-08-15,6.831,6.961,7.091,6.811,242569.0
2024-08-16,6.941,6.801,6.971,6.791,197970.0
2024-08-19,6.801,6.841,6.931,6.791,147447.0
2024-08-20,6.851,6.791,6.901,6.721,177527.0
2024-08-21,6.741,6.721,6.891,6.711,180547.0
2024-08-22,6.741,6.571,6.761,6.561,182767.0
2024-08-23,6.551,6.551,6.611,6.521,133358.0
2024-08-26,6.551,6.601,6.641,6.451,160634.0
2024-08-27,6.581,6.411,6.621,6.391,165219.0
2024-08-28,6.401,6.571,6.601,6.381,174290.0
2024-08-29,6.511,6.581,6.601,6.291,308650.0
2024-08-30,6.591,6.771,6.851,6.551,368424.0
2024-09-02,6.751,6.391,6.751,6.381,455156.0
2024-09-03,6.401,6.421,6.481,6.351,209453.0
2024-09-04,6.381,6.381,6.461,6.291,167374.0
2024-09-05,6.381,6.501,6.581,6.381,226717.0
2024-09-06,6.501,6.401,6.511,6.381,138978.0
2024-09-09,6.361,6.381,6.441,6.311,150087.0
2024-09-10,6.411,6.411,6.471,6.251,192595.0
2024-09-11,6.371,6.351,6.401,6.301,122717.0
2024-09-12,6.341,6.311,6.471,6.311,154266.0
2024-09-13,6.331,6.241,6.371,6.231,162433.0
2024-09-18,6.251,6.181,6.261,6.081,163975.0
2024-09-19,6.201,6.341,6.421,6.181,201378.0
2024-09-20,6.361,6.311,6.361,6.241,156843.0
2024-09-23,6.311,6.271,6.341,6.251,127521.0
2024-09-24,6.321,6.591,6.591,6.291,411440.0
2024-09-25,6.641,6.701,6.931,6.641,441573.0
2024-09-26,6.691,7.061,7.071,6.651,558326.0
2024-09-27,7.231,7.521,7.641,7.091,722882.0
2024-09-30,7.761,8.551,8.701,7.701,1149176.0
2024-10-08,9.951,9.151,10.141,8.351,1910584.0
2024-10-09,8.661,7.761,8.671,7.731,1248981.0
2024-10-10,7.911,7.771,8.131,7.581,702617.0
2024-10-11,7.791,7.481,7.801,7.381,495758.0
2024-10-14,7.451,7.661,7.711,7.311,452580.0
2024-10-15,7.601,7.561,7.881,7.511,470979.0
2024-10-16,7.441,7.641,7.801,7.391,373771.0
2024-10-17,7.651,7.571,7.811,7.561,384604.0
2024-10-18,7.571,7.801,8.031,7.461,558430.0
2024-10-21,7.801,8.051,8.181,7.781,651665.0
2024-10-22,8.031,8.331,8.731,7.971,945293.0
2024-10-23,8.241,8.081,8.251,8.031,568366.0
2024-10-24,8.001,8.051,8.171,7.931,330905.0
2024-10-25,7.951,8.211,8.241,7.951,404656.0
2024-10-28,8.151,8.341,8.441,8.091,548746.0
2024-10-29,8.451,8.051,8.531,8.031,530795.0
2024-10-30,8.051,8.421,9.011,8.051,1021863.0
2024-10-31,8.331,8.491,8.751,8.221,832179.0
2024-11-01,8.431,8.161,8.481,7.991,623278.0
2024-11-04,8.091,8.281,8.351,8.091,330947.0
2024-11-05,8.251,8.661,8.701,8.221,641312.0
2024-11-06,8.581,8.831,8.981,8.491,791990.0
2024-11-07,8.751,8.951,9.011,8.681,579663.0
2024-11-08,8.991,8.821,9.061,8.741,523812.0
2024-11-11,8.691,9.001,9.091,8.631,711606.0
2024-11-12,9.001,8.771,9.081,8.681,536590.0
2024-11-13,8.741,8.871,8.991,8.711,480737.0
2024-11-14,8.811,8.571,8.931,8.531,381755.0
2024-11-15,8.561,8.681,9.071,8.561,676561.0
2024-11-18,8.751,8.151,8.771,8.121,642957.0
2024-11-19,8.201,8.251,8.261,8.021,321854.0
2024-11-20,8.181,8.391,8.521,8.161,379517.0
2024-11-21,8.341,8.391,8.601,8.301,353550.0
2024-11-22,8.341,8.101,8.561,8.081,464075.0
2024-11-25,8.041,7.931,8.201,7.861,521848.0
2024-11-26,7.921,7.961,8.351,7.911,509472.0
2024-11-27,7.931,8.411,8.441,7.791,563412.0
2024-11-28,8.391,8.321,8.781,8.301,562134.0
2024-11-29,8.261,8.481,8.551,8.161,468510.0
2024-12-02,8.431,8.881,9.051,8.421,741254.0
2024-12-03,8.891,9.051,9.291,8.811,791430.0
2024-12-04,8.951,8.901,9.031,8.711,529830.0
2024-12-05,8.861,9.431,9.641,8.861,1003471.0
2024-12-06,9.301,9.401,9.471,9.101,651538.0
2024-12-09,9.201,9.001,9.351,8.831,664405.0
2024-12-10,9.661,9.441,9.951,9.371,1595349.0
2024-12-11,9.451,9.471,9.821,9.361,925280.0
2024-12-12,9.471,9.531,9.571,9.251,654186.0
2024-12-13,9.451,9.441,9.741,9.371,691158.0
2024-12-16,9.401,9.201,9.501,9.091,600586.0
2024-12-17,9.111,9.041,9.171,8.941,488924.0
2024-12-18,9.091,9.101,9.311,8.991,364213.0
2024-12-19,9.031,9.201,9.281,8.981,408894.0
2024-12-20,9.181,9.241,9.331,9.061,395129.0
2024-12-23,9.231,8.821,9.231,8.801,465802.0
2024-12-24,8.841,8.921,8.951,8.801,263663.0
2024-12-25,8.941,9.021,9.171,8.691,457356.0
2024-12-26,8.951,9.241,9.331,8.941,529103.0
2024-12-27,9.231,9.221,9.421,9.091,604660.0
2024-12-30,9.191,9.081,9.331,9.011,415946.0
2024-12-31,9.091,9.091,9.431,8.991,668368.0
